Unnamed: 0,Habitaciones,Baños,Estrato,Antigüedad,Piso N°,Administración,Precio m²,Parqueaderos,Estado,Tipo de apartamento,Precio,Área construída (m²),Área privada (m²)
201,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,543532000,SinDato,SinDato
202,3.0,2.0,5.0,SinDato,7,$ 158.000 COP,"$ 5.693.877,55*m²",1.0,SinDato,SinDato,558000000,98,98
203,3.0,5.0,5.0,SinDato,4,$ 690.000 COP,"$ 7.425.742.574,26*m²",1.0,SinDato,SinDato,1500000000000,202,0
204,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,295210000,SinDato,SinDato
205,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,795000000,SinDato,SinDato
206,3.0,2.0,4.0,SinDato,10,$ 292.000 COP,"$ 4.098.360,66*m²",1.0,SinDato,SinDato,250000000,61,0
207,SinDato,SinDato,4.0,SinDato,SinDato,SinDato,SinDato,SinDato,Sobre planos,SinDato,200000000,SinDato,SinDato
208,3.0,2.0,4.0,9 a 15 años,5,SinDato,"$ 4.264.705,88*m²",1.0,Excelente,Loft,290000000,68,0
209,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,1500000000,SinDato,SinDato
210,3.0,3.0,6.0,9 a 15 años,2,$ 860.000 COP,"$ 4.320.987,65*m²",2.0,SinDato,SinDato,700000000,162,162
211,2.0,1.0,3.0,1 a 8 años,7,$ 70.000 COP,"$ 3.432.432,43*m²",SinDato,Excelente,SinDato,127000000,37,0
212,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,320000000,SinDato,SinDato
213,4.0,4.0,6.0,16 a 30 años,7,$ 450.000 COP,"$ 6.282.051,28*m²",2.0,Excelente,SinDato,735000000,117,117
214,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,430000000,SinDato,SinDato
215,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,240000000,SinDato,SinDato
216,1.0,2.0,4.0,1 a 8 años,3,SinDato,"$ 4.032.258,06*m²",SinDato,SinDato,SinDato,250000000,62,62
217,1.0,2.0,6.0,9 a 15 años,SinDato,SinDato,"$ 6.428.571,43*m²",2.0,SinDato,SinDato,675000000,105,0
218,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,647307563,SinDato,SinDato
219,1.0,1.0,5.0,SinDato,3,$ 167.000 COP,$ 4.700.000*m²,2.0,SinDato,SinDato,235000000,50,0
220,1.0,1.0,4.0,SinDato,SinDato,SinDato,$ 6.187.500*m²,1.0,Excelente,SinDato,198000000,32,0
221,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,561960000,SinDato,SinDato
222,2.0,1.0,3.0,9 a 15 años,5,$ 74.000 COP,"$ 2.717.948,72*m²",SinDato,Excelente,SinDato,106000000,39,0
223,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,631862400,SinDato,SinDato
224,SinDato,SinDato,4.0,SinDato,SinDato,SinDato,SinDato,SinDato,Sobre planos,SinDato,297126000,SinDato,SinDato
225,2.0,2.0,5.0,9 a 15 años,Otro,$ 342.200 COP,"$ 5.949.367,09*m²",1.0,SinDato,SinDato,470000000,79,0
226,2.0,2.0,3.0,9 a 15 años,9,$ 178.800 COP,"$ 4.328.152,67*m²",SinDato,Excelente,SinDato,220000000,"50,83 ",51
227,3.0,3.0,5.0,menor a 1 año,8,$ 320.000 COP,"$ 5.691.056,91*m²",1.0,Excelente,SinDato,700000000,123,123
228,3.0,2.0,4.0,1 a 8 años,1,$ 261.000 COP,"$ 4.268.292,68*m²",1.0,Bueno,SinDato,350000000,82,82
229,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,347300000,SinDato,SinDato
230,2.0,2.0,6.0,1 a 8 años,Otro,SinDato,"$ 4.857.142,86*m²",1.0,SinDato,SinDato,340000000,70,0
231,3.0,3.0,6.0,16 a 30 años,SinDato,$ 592.800 COP,"$ 4.017.094,02*m²",2.0,SinDato,SinDato,470000000,117,0
232,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,1417743028,SinDato,SinDato
233,20.0,2.0,4.0,16 a 30 años,5,$ 228.200 COP,"$ 3.582.089,55*m²",1.0,Bueno,SinDato,240000000,67,67
234,3.0,3.0,5.0,SinDato,SinDato,$ 576.000 COP,"$ 4.918.032,79*m²",SinDato,SinDato,SinDato,600000000,122,0
235,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,156520000,SinDato,SinDato
236,3.0,2.0,4.0,1 a 8 años,Otro,$ 183.000 COP,"$ 3.432.835,82*m²",1.0,Excelente,SinDato,230000000,67,67
237,2.0,1.0,4.0,9 a 15 años,SinDato,$ 150.000 COP,"$ 4.711.538,46*m²",SinDato,Bueno,SinDato,245000000,52,52
238,SinDato,SinDato,6.0,SinDato,SinDato,SinDato,SinDato,SinDato,Sobre planos,SinDato,553675000,SinDato,SinDato
239,4.0,3.0,5.0,más de 30 años,2,SinDato,"$ 3.636.363,64*m²",SinDato,SinDato,SinDato,360000000,99,0
240,2.0,3.0,5.0,SinDato,10,$ 330.000 COP,"$ 7.411.764,71*m²",1.0,Bueno,SinDato,630000000,85,85
241,SinDato,SinDato,4.0,SinDato,SinDato,SinDato,SinDato,SinDato,En construcción,SinDato,488100000,SinDato,SinDato
242,2.0,1.0,4.0,16 a 30 años,4,$ 178.600 COP,$ 5.100.000*m²,SinDato,Excelente,SinDato,255000000,50,50
243,1.0,1.0,6.0,9 a 15 años,5,$ 442.400 COP,$ 7.500.000*m²,SinDato,SinDato,SinDato,300000000,40,0
244,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,543532000,SinDato,SinDato
245,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,516000000,SinDato,SinDato
246,3.0,4.0,6.0,1 a 8 años,9,$ 820.000 COP,"$ 5.447.761,19*m²",2.0,Excelente,SinDato,730000000,134,0
247,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,295210000,SinDato,SinDato
248,1.0,1.0,4.0,SinDato,3,SinDato,$ 6.343.750*m²,1.0,Excelente,SinDato,203000000,32,0
249,3.0,2.0,5.0,1 a 8 años,Otro,$ 400.000 COP,"$ 4.901.960,78*m²",1.0,Excelente,SinDato,500000000,102,102
250,SinDato,SinDato,4.0,SinDato,SinDato,SinDato,SinDato,SinDato,Sobre planos,SinDato,200000000,SinDato,SinDato
251,4.0,5.0,6.0,9 a 15 años,3,$ 750.000 COP,"$ 5.733.333,33*m²",2.0,SinDato,SinDato,860000000,150,150
252,3.0,3.0,5.0,9 a 15 años,3,$ 500.000 COP,"$ 4.910.714,29*m²",1.0,Bueno,SinDato,550000000,112,112
253,3.0,3.0,4.0,más de 30 años,7,$ 590.000 COP,"$ 2.261.306,53*m²",2.0,Excelente,SinDato,450000000,199,0
254,2.0,2.0,4.0,SinDato,SinDato,$ 160.000 COP,"$ 5.673.076,92*m²",SinDato,SinDato,SinDato,295000000,52,52
255,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,162000000,SinDato,SinDato
256,3.0,2.0,5.0,1 a 8 años,5,$ 100.000 COP,"$ 4.941.176,47*m²",1.0,Excelente,SinDato,420000000,85,0
257,5.0,6.0,6.0,16 a 30 años,16,$ 2.300.000 COP,$ 4.784.689*m²,5.0,Bueno,SinDato,3000000000,627,627
258,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,240000000,SinDato,SinDato
259,3.0,2.0,4.0,SinDato,SinDato,SinDato,"$ 3.454.545,45*m²",SinDato,SinDato,SinDato,380000000,110,0
260,2.0,2.0,4.0,16 a 30 años,Otro,$ 165.000 COP,"$ 4.907.407,41*m²",1.0,Excelente,SinDato,265000000,54,0
261,SinDato,SinDato,4.0,SinDato,SinDato,SinDato,SinDato,SinDato,Sobre planos,SinDato,297126000,SinDato,SinDato
262,3.0,2.0,5.0,más de 30 años,2,SinDato,"$ 4.393.939,39*m²",1.0,SinDato,SinDato,580000000,132,132
263,3.0,1.0,3.0,1 a 8 años,Otro,$ 126.018 COP,"$ 3.829.787,23*m²",SinDato,Excelente,SinDato,180000000,47,42
264,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,647307563,SinDato,SinDato
265,3.0,2.0,5.0,9 a 15 años,4,$ 120.000 COP,"$ 4.266.666,67*m²",1.0,Bueno,SinDato,320000000,75,0
266,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,631862400,SinDato,SinDato
267,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,347300000,SinDato,SinDato
268,3.0,2.0,4.0,1 a 8 años,1,$ 229.000 COP,"$ 4.682.539,68*m²",1.0,Bueno,SinDato,295000000,63,63
269,3.0,2.0,4.0,1 a 8 años,6,$ 285.173 COP,"$ 4.642.857,14*m²",1.0,Excelente,SinDato,487500000,105,98
270,3.0,4.0,6.0,16 a 30 años,SinDato,$ 550.000 COP,"$ 4.166.666,67*m²",2.0,Excelente,SinDato,550000000,132,132
271,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,215000000,SinDato,SinDato
272,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,1417743028,SinDato,SinDato
273,2.0,2.0,6.0,9 a 15 años,Otro,$ 340.000 COP,"$ 4.382.022,47*m²",1.0,SinDato,SinDato,390000000,89,89
274,3.0,2.0,4.0,16 a 30 años,2,$ 140.000 COP,"$ 2.653.061,22*m²",1.0,Excelente,SinDato,260000000,98,98
275,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,561960000,SinDato,SinDato
276,3.0,5.0,6.0,1 a 8 años,Otro,$ 2.500.000 COP,"$ 8.771.929,82*m²",3.0,Excelente,Duplex,3000000000,342,342
277,2.0,4.0,6.0,1 a 8 años,7,$ 700.000 COP,"$ 6.853.146,85*m²",2.0,Excelente,SinDato,980000000,143,143
278,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,156520000,SinDato,SinDato
279,3.0,2.0,5.0,9 a 15 años,6,$ 265.000 COP,"$ 4.166.666,67*m²",1.0,Bueno,SinDato,350000000,84,84
280,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,950000000,SinDato,SinDato
281,SinDato,SinDato,6.0,SinDato,SinDato,SinDato,SinDato,SinDato,Sobre planos,SinDato,553675000,SinDato,SinDato
282,3.0,4.0,6.0,9 a 15 años,SinDato,$ 769.000 COP,"$ 5.666.666,67*m²",2.0,SinDato,SinDato,850000000,150,150
283,3.0,2.0,3.0,9 a 15 años,SinDato,SinDato,"$ 3.166.666,67*m²",1.0,Bueno,SinDato,285000000,90,0
284,SinDato,SinDato,4.0,SinDato,SinDato,SinDato,SinDato,SinDato,En construcción,SinDato,488100000,SinDato,SinDato
285,2.0,2.0,6.0,9 a 15 años,7,$ 442.000 COP,"$ 6.944.444,44*m²",2.0,Excelente,SinDato,625000000,90,90
286,3.0,3.0,6.0,SinDato,SinDato,SinDato,"$ 4.022.988,51*m²",SinDato,SinDato,SinDato,700000000,174,174
287,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,543532000,SinDato,SinDato
288,2.0,2.0,5.0,más de 30 años,3,$ 85.000 COP,"$ 4.755.244,76*m²",1.0,Bueno,SinDato,340000000,"71,5 ",0
289,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,460000000,SinDato,SinDato
290,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,295210000,SinDato,SinDato
291,3.0,4.0,6.0,1 a 8 años,10,$ 605.000 COP,"$ 7.567.567,57*m²",2.0,Excelente,SinDato,840000000,111,111
292,3.0,2.0,3.0,SinDato,SinDato,$ 140.000 COP,"$ 3.653.846,15*m²",SinDato,SinDato,SinDato,190000000,52,0
293,SinDato,SinDato,4.0,SinDato,SinDato,SinDato,SinDato,SinDato,Sobre planos,SinDato,200000000,SinDato,SinDato
294,4.0,3.0,5.0,9 a 15 años,7,$ 478.000 COP,"$ 4.948.979,59*m²",1.0,Excelente,SinDato,485000000,98,98
295,2.0,3.0,5.0,1 a 8 años,10,$ 330.000 COP,"$ 7.411.764,71*m²",2.0,SinDato,SinDato,630000000,85,0
296,2.0,1.0,3.0,9 a 15 años,Otro,$ 112.000 COP,$ 3.675.000*m²,SinDato,SinDato,SinDato,147000000,40,40
297,4.0,4.0,6.0,16 a 30 años,10,$ 579.000 COP,"$ 4.484.126,98*m²",2.0,SinDato,SinDato,565000000,126,126
298,3.0,2.0,3.0,16 a 30 años,SinDato,$ 220.000 COP,"$ 3.157.894,74*m²",SinDato,SinDato,SinDato,180000000,57,57
299,1.0,2.0,6.0,1 a 8 años,11,$ 223.000 COP,"$ 7.818.181,82*m²",1.0,SinDato,SinDato,430000000,55,55
300,2.0,2.0,4.0,1 a 8 años,4,$ 297.000 COP,$ 5.500.000*m²,SinDato,Excelente,SinDato,550000000,100,0
301,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,240000000,SinDato,SinDato
302,1.0,2.0,4.0,1 a 8 años,3,SinDato,"$ 4.032.258,06*m²",SinDato,SinDato,SinDato,250000000,62,62
303,1.0,2.0,6.0,9 a 15 años,SinDato,SinDato,"$ 6.428.571,43*m²",2.0,SinDato,SinDato,675000000,105,0
304,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,647307563,SinDato,SinDato
305,1.0,1.0,5.0,SinDato,3,$ 167.000 COP,$ 4.700.000*m²,2.0,SinDato,SinDato,235000000,50,0
306,1.0,1.0,4.0,SinDato,SinDato,SinDato,$ 6.187.500*m²,1.0,Excelente,SinDato,198000000,32,0
307,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,561960000,SinDato,SinDato
308,4.0,3.0,4.0,16 a 30 años,3,SinDato,"$ 2.935.779,82*m²",SinDato,Bueno,SinDato,320000000,109,0
309,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,631862400,SinDato,SinDato
310,SinDato,SinDato,4.0,SinDato,SinDato,SinDato,SinDato,SinDato,Sobre planos,SinDato,297126000,SinDato,SinDato
311,2.0,1.0,5.0,16 a 30 años,1,$ 210 COP,"$ 4.848.484,85*m²",1.0,Bueno,SinDato,320000000,66,66
312,3.0,3.0,5.0,más de 30 años,SinDato,$ 250.000 COP,$ 4.000.000*m²,1.0,Bueno,SinDato,660000000,165,0
313,SinDato,SinDato,4.0,SinDato,SinDato,SinDato,"$ 7.166.666,67*m²",SinDato,SinDato,SinDato,645000000,90,0
314,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,420000000,SinDato,SinDato
315,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,347300000,SinDato,SinDato
316,2.0,2.0,6.0,1 a 8 años,Otro,SinDato,"$ 4.857.142,86*m²",1.0,SinDato,SinDato,340000000,70,0
317,3.0,2.0,5.0,1 a 8 años,SinDato,$ 295.000 COP,"$ 5.795.454,55*m²",2.0,Excelente,SinDato,510000000,88,88
318,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,1417743028,SinDato,SinDato
319,3.0,2.0,4.0,1 a 8 años,SinDato,$ 308.000 COP,"$ 5.328.947,37*m²",1.0,Excelente,SinDato,405000000,76,0
320,2.0,3.0,6.0,1 a 8 años,10,$ 453.000 COP,"$ 6.702.127,66*m²",2.0,Excelente,SinDato,630000000,94,0
321,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,543532000,SinDato,SinDato
322,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,670000000,SinDato,SinDato
323,3.0,2.0,4.0,1 a 8 años,Otro,$ 162.720 COP,"$ 4.333.333,33*m²",1.0,SinDato,SinDato,247000000,57,0
324,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,295210000,SinDato,SinDato
325,3.0,3.0,3.0,SinDato,SinDato,SinDato,"$ 5.275.590,55*m²",SinDato,SinDato,SinDato,670000000,127,0
326,3.0,2.0,3.0,SinDato,3,SinDato,"$ 3.897.058,82*m²",SinDato,SinDato,SinDato,265000000,68,0
327,SinDato,SinDato,4.0,SinDato,SinDato,SinDato,SinDato,SinDato,En construcción,SinDato,488100000,SinDato,SinDato
328,3.0,2.0,5.0,1 a 8 años,14,$ 207.000 COP,"$ 5.149.253,73*m²",1.0,Excelente,SinDato,345000000,67,0
329,2.0,2.0,6.0,SinDato,9,SinDato,"$ 11.538.461,54*m²",2.0,SinDato,SinDato,1200000000,104,104
330,SinDato,SinDato,6.0,SinDato,SinDato,SinDato,SinDato,SinDato,Sobre planos,SinDato,553675000,SinDato,SinDato
331,3.0,3.0,6.0,9 a 15 años,Otro,$ 770.000 COP,"$ 5.666.666,67*m²",2.0,Excelente,SinDato,850000000,150,0
332,3.0,2.0,5.0,1 a 8 años,2,$ 190.000 COP,"$ 5.178.571,43*m²",1.0,Excelente,SinDato,435000000,84,84
333,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,156520000,SinDato,SinDato
334,1.0,1.0,6.0,1 a 8 años,SinDato,$ 443.000 COP,$ 7.750.000*m²,SinDato,Excelente,SinDato,310000000,40,0
335,3.0,2.0,6.0,16 a 30 años,7,$ 470.000 COP,"$ 5.117.399,16*m²",1.0,Bueno,SinDato,510000000,"99,66 ",0
336,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,825894200,SinDato,SinDato
337,5.0,3.0,6.0,9 a 15 años,4,$ 600.000 COP,"$ 4.492.753,62*m²",2.0,Excelente,SinDato,620000000,138,138
338,2.0,2.0,4.0,1 a 8 años,Otro,$ 290.000 COP,$ 5.640.000*m²,1.0,Excelente,SinDato,423000000,75,75
339,2.0,3.0,6.0,más de 30 años,4,$ 596.300 COP,"$ 4.361.344,54*m²",1.0,Excelente,SinDato,519000000,119,119
340,3.0,4.0,6.0,9 a 15 años,SinDato,$ 769.000 COP,"$ 5.666.666,67*m²",2.0,SinDato,SinDato,850000000,150,150
341,4.0,5.0,6.0,1 a 8 años,Otro,SinDato,"$ 6.089.309,88*m²",2.0,Excelente,SinDato,900000000,"147,8 ",148
342,3.0,5.0,6.0,SinDato,Otro,$ 754.000 COP,"$ 6.395.348,84*m²",5.0,SinDato,SinDato,1650000000,258,258
343,3.0,2.0,6.0,menor a 1 año,Otro,SinDato,"$ 6.924.483,93*m²",1.0,Excelente,SinDato,530000000,"76,54 ",70
344,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,240000000,SinDato,SinDato
345,3.0,2.0,4.0,SinDato,SinDato,SinDato,"$ 3.454.545,45*m²",SinDato,SinDato,SinDato,380000000,110,0
346,2.0,2.0,4.0,16 a 30 años,Otro,$ 165.000 COP,"$ 4.907.407,41*m²",1.0,Excelente,SinDato,265000000,54,0
347,SinDato,SinDato,4.0,SinDato,SinDato,SinDato,SinDato,SinDato,Sobre planos,SinDato,297126000,SinDato,SinDato
348,3.0,2.0,5.0,más de 30 años,2,SinDato,"$ 4.393.939,39*m²",1.0,SinDato,SinDato,580000000,132,132
349,3.0,1.0,3.0,1 a 8 años,Otro,$ 126.018 COP,"$ 3.829.787,23*m²",SinDato,Excelente,SinDato,180000000,47,42
350,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,647307563,SinDato,SinDato
351,3.0,4.0,6.0,1 a 8 años,Otro,$ 680.000 COP,"$ 6.666.666,67*m²",2.0,Excelente,SinDato,900000000,135,135
352,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,631862400,SinDato,SinDato
353,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,347300000,SinDato,SinDato
354,3.0,2.0,5.0,9 a 15 años,Otro,$ 350.000 COP,$ 5.375.000*m²,1.0,Excelente,SinDato,430000000,80,80
355,3.0,3.0,6.0,16 a 30 años,2,$ 540.000 COP,"$ 4.483.870,97*m²",2.0,Excelente,Loft,695000000,155,150
356,3.0,2.0,5.0,9 a 15 años,11,$ 400.000 COP,"$ 4.896.103,9*m²",1.0,Bueno,SinDato,377000000,77,77
357,3.0,3.0,5.0,SinDato,1,$ 180.000 COP,"$ 4.142.857,14*m²",1.0,SinDato,SinDato,580000000,140,0
358,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,1417743028,SinDato,SinDato
359,2.0,2.0,6.0,9 a 15 años,Otro,$ 340.000 COP,"$ 4.382.022,47*m²",1.0,SinDato,SinDato,390000000,89,89
360,3.0,2.0,4.0,9 a 15 años,14,$ 390.500 COP,"$ 5.535.714,29*m²",1.0,Bueno,SinDato,465000000,84,84
361,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,561960000,SinDato,SinDato
362,3.0,2.0,6.0,9 a 15 años,7,$ 220.000 COP,"$ 5.571.428,57*m²",1.0,Bueno,SinDato,390000000,70,70
363,3.0,2.0,5.0,1 a 8 años,Otro,SinDato,"$ 5.928.571,43*m²",1.0,Bueno,SinDato,498000000,84,84
364,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,543532000,SinDato,SinDato
365,3.0,2.0,5.0,1 a 8 años,Otro,SinDato,"$ 6.781.609,2*m²",1.0,Excelente,SinDato,590000000,87,0
366,3.0,1.0,3.0,SinDato,SinDato,SinDato,"$ 2.337.662,34*m²",SinDato,SinDato,SinDato,180000000,77,77
367,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,295210000,SinDato,SinDato
368,4.0,5.0,6.0,16 a 30 años,7,$ 1.200.000 COP,"$ 4.678.362,57*m²",3.0,SinDato,SinDato,1600000000,342,342
369,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,220000000,SinDato,SinDato
370,SinDato,SinDato,4.0,SinDato,SinDato,SinDato,SinDato,SinDato,En construcción,SinDato,488100000,SinDato,SinDato
371,3.0,3.0,5.0,SinDato,4,$ 332.500 COP,"$ 3.584.905,66*m²",1.0,SinDato,SinDato,380000000,106,106
372,3.0,3.0,5.0,SinDato,10,$ 776.900 COP,"$ 3.762.886,6*m²",2.0,SinDato,SinDato,730000000,194,165
373,SinDato,SinDato,6.0,SinDato,SinDato,SinDato,SinDato,SinDato,Sobre planos,SinDato,553675000,SinDato,SinDato
374,3.0,4.0,6.0,SinDato,9,$ 510.000 COP,"$ 7.073.170,73*m²",2.0,SinDato,SinDato,870000000,123,123
375,3.0,3.0,5.0,SinDato,8,$ 563.000 COP,"$ 4.605.263,16*m²",2.0,SinDato,SinDato,700000000,152,152
376,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,156520000,SinDato,SinDato
377,3.0,2.0,5.0,SinDato,7,$ 230.000 COP,$ 5.000.000*m²,1.0,SinDato,SinDato,355000000,71,71
378,2.0,2.0,4.0,1 a 8 años,5,SinDato,$ 5.000.000*m²,1.0,Remodelado,SinDato,275000000,55,53
379,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,825894200,SinDato,SinDato
380,3.0,2.0,3.0,más de 30 años,4,SinDato,"$ 2.820.512,82*m²",SinDato,Excelente,SinDato,220000000,78,0
381,5.0,6.0,6.0,9 a 15 años,16,$ 950.000 COP,"$ 4.478.260,87*m²",3.0,Excelente,SinDato,1648000000,368,368
382,3.0,2.0,5.0,SinDato,SinDato,$ 400.000 COP,"$ 3.428.571,43*m²",1.0,SinDato,SinDato,480000000,140,0
383,3.0,3.0,6.0,1 a 8 años,SinDato,$ 868.889 COP,$ 10.000.000*m²,3.0,SinDato,SinDato,1600000000,160,160
384,2.0,2.0,6.0,1 a 8 años,Otro,$ 250.000 COP,"$ 7.230.769,23*m²",1.0,Excelente,SinDato,470000000,65,65
385,3.0,3.0,6.0,SinDato,SinDato,$ 535.000 COP,"$ 7.236.024,84*m²",3.0,Excelente,SinDato,1165000000,161,0
386,3.0,3.0,6.0,9 a 15 años,4,$ 496.000 COP,"$ 6.605.769,23*m²",2.0,Bueno,SinDato,687000000,104,0
387,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,240000000,SinDato,SinDato
388,3.0,2.0,4.0,SinDato,SinDato,SinDato,"$ 3.454.545,45*m²",SinDato,SinDato,SinDato,380000000,110,0
389,2.0,2.0,4.0,16 a 30 años,Otro,$ 165.000 COP,"$ 4.907.407,41*m²",1.0,Excelente,SinDato,265000000,54,0
390,SinDato,SinDato,4.0,SinDato,SinDato,SinDato,SinDato,SinDato,Sobre planos,SinDato,297126000,SinDato,SinDato
391,3.0,2.0,5.0,más de 30 años,2,SinDato,"$ 4.393.939,39*m²",1.0,SinDato,SinDato,580000000,132,132
392,3.0,1.0,3.0,1 a 8 años,Otro,$ 126.018 COP,"$ 3.829.787,23*m²",SinDato,Excelente,SinDato,180000000,47,42
393,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,647307563,SinDato,SinDato
394,3.0,2.0,3.0,1 a 8 años,SinDato,$ 160.000 COP,"$ 3.157.894,74*m²",SinDato,Excelente,SinDato,180000000,57,57
395,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,631862400,SinDato,SinDato
396,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,347300000,SinDato,SinDato
397,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,720000000,SinDato,SinDato
398,2.0,1.0,3.0,1 a 8 años,1,$ 95.000 COP,"$ 3.717.948,72*m²",SinDato,Excelente,SinDato,145000000,39,39
399,3.0,2.0,4.0,SinDato,9,$ 126.000 COP,"$ 4.444.444,44*m²",SinDato,Excelente,SinDato,240000000,54,54
400,3.0,3.0,6.0,1 a 8 años,13,$ 450.000 COP,"$ 6.442.307,69*m²",2.0,SinDato,SinDato,670000000,104,104
401,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,SinDato,1417743028,SinDato,SinDato
402,2.0,2.0,6.0,9 a 15 años,Otro,$ 340.000 COP,"$ 4.382.022,47*m²",1.0,SinDato,SinDato,390000000,89,89
